RUN_ID,screenshot_file,tool,page_or_endpoint,evidence_type,timestamp_utc,related_raw_file,related_log_file,http_code,visible_identifier,sha256,contains_redaction,redaction_reason,verified,notes
PFA-FINAL-20260718-214637,01_PFA-FINAL-20260718-214637_thehive_current_state.png,TheHive UI,administration/organisations,screenshot,2026-07-19,,,N/A,PFA-FINAL-20260718-214637,c321655976d2f2fbf4c25cd6b7dfcdfd3aebc9e935b4ed8d676affc86aa4da75,false,,true,"Vue principale TheHive, banniere licence invalide visible"
PFA-FINAL-20260718-214637,02_PFA-FINAL-20260718-214637_thehive_license_invalid_ui.png,TheHive UI,administration/platform/license,screenshot,2026-07-19,,,N/A,PFA-FINAL-20260718-214637,e06e9f6c98664be79c1da0d38ed3dd4b7500621333868b0bb0d7f69cb4af9772,false,,true,"License Management: No, quotas 1/0 en rouge"
PFA-FINAL-20260718-214637,03a_PFA-FINAL-20260718-214637_thehive_api_status_no_license_top.png,Terminal,GET /api/v1/status,screenshot,2026-07-19,,,200,PFA-FINAL-20260718-214637,dd44000ba8cb80e007a3b50060a7e10d5604cf05f651f8a7d043a4b12de19114,false,,true,"Haut de la reponse: RUN_ID, UTC, version, id=no-license, plan=No"
PFA-FINAL-20260718-214637,03b_PFA-FINAL-20260718-214637_thehive_api_status_no_license_key.png,Terminal,GET /api/v1/status,screenshot,2026-07-19,,,200,PFA-FINAL-20260718-214637,32b811882305486dde534513f4bb64556f583c08c51ec18777c203bc51eadf35,false,,true,"isValid:false, erreur d'expiration, quotas users.normal/users.service 1/0"
PFA-FINAL-20260718-214637,03c_PFA-FINAL-20260718-214637_thehive_api_status_no_license_bottom.png,Terminal,GET /api/v1/status,screenshot,2026-07-19,,,200,PFA-FINAL-20260718-214637,6a4b3b6588d1493afbd8353b2f551a86dd6c5b6ed33627c9d9740820fa449321,false,,true,"Fin de la reponse: organisations quota, features"
PFA-FINAL-20260718-214637,04_PFA-FINAL-20260718-214637_thehive_schema_mismatch.png,Terminal,GET /api/v1/status?verbose=true,screenshot,2026-07-19,,,200,PFA-FINAL-20260718-214637,bf05e69879ca22b7d90190f2887b5d39d10ac9ef84c53a5ca730bdacc33bc649,false,,true,"schemaStatus: thehive 98/99, thehive-enterprise 93/94, thehive-cortex 2/3"
PFA-FINAL-20260718-214637,05_PFA-FINAL-20260718-214637_thehive_accounts_profiles.png,TheHive UI,administration/organisations/soc-lab,screenshot,2026-07-19,,,N/A,PFA-FINAL-20260718-214637,09d81587b7b087e8eecc3952ea4f5d5006929aa04ac20e8250fddf4be8a4fdff,false,,true,"Organisation soc-lab, 2 comptes (analyst, soc-automation), profile analyst tous les deux"
PFA-FINAL-20260718-214637,06_PFA-FINAL-20260718-214637_thehive_analyst_profile_permissions.png,TheHive UI,administration/entities/profiles,screenshot,2026-07-19,,,N/A,PFA-FINAL-20260718-214637,9361857d0fa7ec1ab3794c4d50b784c19038cf1e22587311e514c2b96f62d49a,false,,true,"Profil analyst: manageCase/create, manageCase/update, manageObservable, manageTask presents"
PFA-FINAL-20260718-214637,07_PFA-FINAL-20260718-214637_service_account_managecase_403.png,Terminal,POST /api/v1/case (soc-automation),screenshot,2026-07-19,,,403,PFA-FINAL-20260718-214637,f1c890387b3fafa05054484f62f00585615b01c16b9a8d3e9bc21239d22a663c,false,,true,"403 manageCase/create, compte Service, verifie en direct"
PFA-FINAL-20260718-214637,08_PFA-FINAL-20260718-214637_human_analyst_managecase_403.png,Terminal,POST /api/v1/case (analyst),screenshot,2026-07-19,,,403,PFA-FINAL-20260718-214637,c6194fbc907c1aec8d28ab3c4627028f3ec9b3ca0f438d669f4e907959c730ec,false,,true,"403 manageCase/create identique, compte humain Normal, verifie en direct"
PFA-FINAL-20260718-214637,09_PFA-FINAL-20260718-214637_thehive_capabilitysrv_stacktrace.png,Terminal,docker logs thehive,screenshot,2026-07-19,,,N/A,PFA-FINAL-20260718-214637,6ac75a2f5b6038816bafd6b740ddb2f4956cc4538be06ef8c8cb10cb2abefde4,false,,true,Cause reelle: ConnectException Cassandra 9042 -> InitialisationFailure -> capabilitySrv lzycompute
